object_id,class,split,object_path
0,airplane,train,ModelNet40\airplane\train\airplane_0001.off
1,airplane,train,ModelNet40\airplane\train\airplane_0002.off
2,airplane,train,ModelNet40\airplane\train\airplane_0003.off
3,airplane,train,ModelNet40\airplane\train\airplane_0004.off
4,airplane,train,ModelNet40\airplane\train\airplane_0005.off
5,airplane,train,ModelNet40\airplane\train\airplane_0006.off
6,airplane,train,ModelNet40\airplane\train\airplane_0007.off
7,airplane,train,ModelNet40\airplane\train\airplane_0008.off
8,airplane,train,ModelNet40\airplane\train\airplane_0009.off
9,airplane,train,ModelNet40\airplane\train\airplane_0010.off
10,airplane,train,ModelNet40\airplane\train\airplane_0011.off
11,airplane,train,ModelNet40\airplane\train\airplane_0012.off
12,airplane,train,ModelNet40\airplane\train\airplane_0013.off
13,airplane,train,ModelNet40\airplane\train\airplane_0014.off
14,airplane,train,ModelNet40\airplane\train\airplane_0015.off
15,airplane,train,ModelNet40\airplane\train\airplane_0016.off
16,airplane,train,ModelNet40\airplane\train\airplane_0017.off
17,airplane,train,ModelNet40\airplane\train\airplane_0018.off
18,airplane,train,ModelNet40\airplane\train\airplane_0019.off
19,airplane,train,ModelNet40\airplane\train\airplane_0020.off
20,airplane,train,ModelNet40\airplane\train\airplane_0021.off
21,airplane,train,ModelNet40\airplane\train\airplane_0022.off
22,airplane,train,ModelNet40\airplane\train\airplane_0023.off
23,airplane,train,ModelNet40\airplane\train\airplane_0024.off
24,airplane,train,ModelNet40\airplane\train\airplane_0025.off
25,airplane,train,ModelNet40\airplane\train\airplane_0026.off
26,airplane,train,ModelNet40\airplane\train\airplane_0027.off
27,airplane,train,ModelNet40\airplane\train\airplane_0028.off
28,airplane,train,ModelNet40\airplane\train\airplane_0029.off
29,airplane,train,ModelNet40\airplane\train\airplane_0030.off
30,airplane,train,ModelNet40\airplane\train\airplane_0031.off
31,airplane,train,ModelNet40\airplane\train\airplane_0032.off
32,airplane,train,ModelNet40\airplane\train\airplane_0033.off
33,airplane,train,ModelNet40\airplane\train\airplane_0034.off
34,airplane,train,ModelNet40\airplane\train\airplane_0035.off
35,airplane,train,ModelNet40\airplane\train\airplane_0036.off
36,airplane,train,ModelNet40\airplane\train\airplane_0037.off
37,airplane,train,ModelNet40\airplane\train\airplane_0038.off
38,airplane,train,ModelNet40\airplane\train\airplane_0039.off
39,airplane,train,ModelNet40\airplane\train\airplane_0040.off
40,airplane,train,ModelNet40\airplane\train\airplane_0041.off
41,airplane,train,ModelNet40\airplane\train\airplane_0042.off
42,airplane,train,ModelNet40\airplane\train\airplane_0043.off
43,airplane,train,ModelNet40\airplane\train\airplane_0044.off
44,airplane,train,ModelNet40\airplane\train\airplane_0045.off
45,airplane,train,ModelNet40\airplane\train\airplane_0046.off
46,airplane,train,ModelNet40\airplane\train\airplane_0047.off
47,airplane,train,ModelNet40\airplane\train\airplane_0048.off
48,airplane,train,ModelNet40\airplane\train\airplane_0049.off
49,airplane,train,ModelNet40\airplane\train\airplane_0050.off
50,airplane,train,ModelNet40\airplane\train\airplane_0051.off
51,airplane,train,ModelNet40\airplane\train\airplane_0052.off
52,airplane,train,ModelNet40\airplane\train\airplane_0053.off
53,airplane,train,ModelNet40\airplane\train\airplane_0054.off
54,airplane,train,ModelNet40\airplane\train\airplane_0055.off
55,airplane,train,ModelNet40\airplane\train\airplane_0056.off
56,airplane,train,ModelNet40\airplane\train\airplane_0057.off
57,airplane,train,ModelNet40\airplane\train\airplane_0058.off
58,airplane,train,ModelNet40\airplane\train\airplane_0059.off
59,airplane,train,ModelNet40\airplane\train\airplane_0060.off
60,airplane,train,ModelNet40\airplane\train\airplane_0061.off
61,airplane,train,ModelNet40\airplane\train\airplane_0062.off
62,airplane,train,ModelNet40\airplane\train\airplane_0063.off
63,airplane,train,ModelNet40\airplane\train\airplane_0064.off
64,airplane,train,ModelNet40\airplane\train\airplane_0065.off
65,airplane,train,ModelNet40\airplane\train\airplane_0066.off
66,airplane,train,ModelNet40\airplane\train\airplane_0067.off
67,airplane,train,ModelNet40\airplane\train\airplane_0068.off
68,airplane,train,ModelNet40\airplane\train\airplane_0069.off
69,airplane,train,ModelNet40\airplane\train\airplane_0070.off
70,airplane,train,ModelNet40\airplane\train\airplane_0071.off
71,airplane,train,ModelNet40\airplane\train\airplane_0072.off
72,airplane,train,ModelNet40\airplane\train\airplane_0073.off
73,airplane,train,ModelNet40\airplane\train\airplane_0074.off
74,airplane,train,ModelNet40\airplane\train\airplane_0075.off
75,airplane,train,ModelNet40\airplane\train\airplane_0076.off
76,airplane,train,ModelNet40\airplane\train\airplane_0077.off
77,airplane,train,ModelNet40\airplane\train\airplane_0078.off
78,airplane,train,ModelNet40\airplane\train\airplane_0079.off
79,airplane,train,ModelNet40\airplane\train\airplane_0080.off
80,airplane,train,ModelNet40\airplane\train\airplane_0081.off
81,airplane,train,ModelNet40\airplane\train\airplane_0082.off
82,airplane,train,ModelNet40\airplane\train\airplane_0083.off
83,airplane,train,ModelNet40\airplane\train\airplane_0084.off
84,airplane,train,ModelNet40\airplane\train\airplane_0085.off
85,airplane,train,ModelNet40\airplane\train\airplane_0086.off
